Title,Media URL,Pinterest board,Thumbnail,Description,Link,Publish date,Keywords
A GLP-1 Tracker You Can Fill In on Your Phone,https://cdn.jsdelivr.net/gh/ilsetanis/glp1-living-pins@main/glp1-living-glp-1-trackers-journals-w38-c92aba7a.png,GLP-1 Trackers & Journals,,"A GLP-1 tracker that works on your phone as easily as your laptop, so you can log the shot the moment you take it. Dose, site, weight and notes in one place. Instant download.",https://www.etsy.com/listing/4534977454/glp-1-shot-tracker-google-sheets?utm_source=pinterest&utm_medium=organic&utm_campaign=trackers-journals&utm_content=glp1-w38-p001,2026-09-15T06:48:00,"glp-1 shot tracker, glp-1 weight tracker, glp 1 weight tracker, glp-1 weekly tracker, free glp-1 tracker, glp-1 tracker app, semaglutide injection log, weight loss tracker printable"
GLP-1 Weight Tracker With Automatic Charts and Percent Lost,https://cdn.jsdelivr.net/gh/ilsetanis/glp1-living-pins@main/glp1-living-glp-1-trackers-journals-w38-c269430e.png,GLP-1 Trackers & Journals,,"A GLP-1 weight tracker that charts automatically: enter the number, see the curve. Percent lost, total change and weekly trend calculate themselves. Instant download.",https://glp-1-living.com/products/glp-1-shot-tracker-google-sheets?utm_source=pinterest&utm_medium=organic&utm_campaign=trackers-journals&utm_content=glp1-w38-p002,2026-09-15T07:09:00,"glp-1 shot tracker, glp-1 weight tracker, glp 1 weight tracker, glp-1 weekly tracker, free glp-1 tracker, glp-1 tracker app, semaglutide injection log, weight loss tracker printable"
GLP-1 Lunch Recipes You Can Prep on Sunday,https://cdn.jsdelivr.net/gh/ilsetanis/glp1-living-pins@main/glp1-living-glp-1-recipes-w38-2951536e.png,GLP-1 Recipes,,"Lunch recipes for GLP-1: high protein, packable and portioned for a smaller appetite. Prep once, eat all week. Printable PDF, instant download.",https://glp-1-living.com/products/glp-1-tirzepatide-lunch-recipes?utm_source=pinterest&utm_medium=organic&utm_campaign=recipes&utm_content=glp1-w38-p003,2026-09-15T07:46:00,"glp-1 living, food noise, glp-1 tracker, glp-1 meal plan, medspa marketing, weight loss clinic social media, glp-1 tips"
"GLP-1 Shot Tracker: Log Every Injection, Dose and Site in One Place",https://cdn.jsdelivr.net/gh/ilsetanis/glp1-living-pins@main/glp1-living-glp-1-trackers-journals-w38-f14bc590.png,GLP-1 Trackers & Journals,,"A GLP-1 shot tracker that keeps your whole schedule in one view: injection date, dose, site rotation and how the week felt. Fills itself in as you go, so you always know where you are. Instant download.",https://www.etsy.com/listing/4534977454/glp-1-shot-tracker-google-sheets?utm_source=pinterest&utm_medium=organic&utm_campaign=trackers-journals&utm_content=glp1-w38-p004,2026-09-15T08:56:00,"glp-1 shot tracker, glp-1 weight tracker, glp 1 weight tracker, glp-1 weekly tracker, free glp-1 tracker, glp-1 tracker app, semaglutide injection log, weight loss tracker printable"
"GLP-1 Food List: What to Eat, Limit and Avoid on One Chart",https://cdn.jsdelivr.net/gh/ilsetanis/glp1-living-pins@main/glp1-living-glp-1-foods-to-eat-w38-71e777d4.png,GLP-1 Foods to Eat,,"A GLP-1 food list on a single chart: eat, limit and avoid, so you can decide in the aisle instead of at home. Printable PDF, instant download.",https://www.etsy.com/listing/4412794657/glp-1-diet-food-list-printable-eatavoid?utm_source=pinterest&utm_medium=organic&utm_campaign=foods-to-eat&utm_content=glp1-w38-p005,2026-09-15T12:17:00,"glp-1 living, food noise, glp-1 tracker, glp-1 meal plan, medspa marketing, weight loss clinic social media, glp-1 tips"
"The GLP-1 Food Bundle: Lists, Swaps and Portion Guide Together",https://cdn.jsdelivr.net/gh/ilsetanis/glp1-living-pins@main/glp1-living-glp-1-foods-to-eat-w38-8147648f.png,GLP-1 Foods to Eat,,"A GLP-1 food bundle that answers the daily questions in one place: what to eat, what to swap and how much. Calm, clear, printable. Instant download.",https://glp-1-living.com/products/glp-1-food-list-bundle-with-grocery-list-symptom-swap-guide?utm_source=pinterest&utm_medium=organic&utm_campaign=foods-to-eat&utm_content=glp1-w38-p006,2026-09-15T12:27:00,"glp-1 food list, glp-1 meal plan, glp-1 tracker, high protein meal prep, glp-1 recipes"
GLP-1 Friendly Desserts You Can Actually Finish,https://cdn.jsdelivr.net/gh/ilsetanis/glp1-living-pins@main/glp1-living-glp-1-recipes-w38-c0bd024f.png,GLP-1 Recipes,,"Small, high protein desserts made for a GLP-1 appetite. Simple ingredients, no baking marathons. Printable PDF, instant download.",https://www.etsy.com/listing/4549734641/?utm_source=pinterest&utm_medium=organic&utm_campaign=recipes&utm_content=glp1-w38-p007,2026-09-15T13:13:00,"glp-1 living, food noise, glp-1 tracker, glp-1 meal plan, medspa marketing, weight loss clinic social media, glp-1 tips"
Medspa Marketing Flyer for GLP-1 Weight Loss Services,https://cdn.jsdelivr.net/gh/ilsetanis/glp1-living-pins@main/glp1-living-glp-1-tools-for-clinics-coaches-w38-72807f9a.png,GLP-1 Tools for Clinics & Coaches,,"A GLP-1 marketing flyer for medspas: service, pricing block, what is included and a clear next step. Edit the text and colours in Canva, print or post it the same day. Instant download.",https://glp-1-living.com/products/tirzepatide-weight-loss-flyer?utm_source=pinterest&utm_medium=organic&utm_campaign=tools-for-clinics-coaches&utm_content=glp1-w38-p008,2026-09-15T13:22:00,"medspa marketing, med spa social media, weight loss clinic marketing, aesthetic clinic marketing, patient education handout"
GLP-1 Planner 2026: A Full Year of Tracking in One Place,https://cdn.jsdelivr.net/gh/ilsetanis/glp1-living-pins@main/glp1-living-glp-1-trackers-journals-w38-575053be.png,GLP-1 Trackers & Journals,,"A GLP-1 planner for 2026: injection log, weight pages, habit tracking and monthly check-ins for the whole year. Digital or printable. Instant download.",https://www.etsy.com/listing/4430717036/glp1-planner-2026-tirzepatide-weight?utm_source=pinterest&utm_medium=organic&utm_campaign=trackers-journals&utm_content=glp1-w38-p009,2026-09-15T13:58:00,"glp-1 living, food noise, glp-1 tracker, glp-1 meal plan, medspa marketing, weight loss clinic social media, glp-1 tips"
High Fiber Foods List for GLP-1 Constipation,https://cdn.jsdelivr.net/gh/ilsetanis/glp1-living-pins@main/glp1-living-glp-1-foods-to-eat-w38-f7604bc2.png,GLP-1 Foods to Eat,,"A high fiber food list for one of the most common GLP-1 complaints. Which foods help, how much to aim for and what to pair them with. Printable PDF, instant download.",https://glp-1-living.com/products/glp-1-constipation-food-list?utm_source=pinterest&utm_medium=organic&utm_campaign=foods-to-eat&utm_content=glp1-w38-p010,2026-09-15T16:25:00,"high fiber foods list, high fiber foods aesthetic, high fiber foods chart, high fiber foods for gut health, high fiber foods snacks, high fiber meals"
